filename,format,tool,n_components,source_path
0c4418d0c99f0cc187da60a28e45ce01cb5a55f0,CycloneDX-XML,unknown,99,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\0\0c4418d0c99f0cc187da60a28e45ce01cb5a55f0
e62c70cee5b4facb342661142f4ea3f1ca2de83b,CycloneDX-JSON,cdxgen,974,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\e62c70cee5b4facb342661142f4ea3f1ca2de83b
c55a0795414f9211c80603a29d0c2a9ed3d435db,SPDX-JSON,phoenix container pipeline/metaeffekt plugins,150,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\c55a0795414f9211c80603a29d0c2a9ed3d435db
58536a71519870198ab17f81fa5126c45cc9337f,CycloneDX-JSON,Github Extractor,5,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\5\58536a71519870198ab17f81fa5126c45cc9337f
1fd0ae849e48aca64b6bb097353c5c5b582e3a62,CycloneDX-JSON,Node.js module,119,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\1fd0ae849e48aca64b6bb097353c5c5b582e3a62
25c67c3f96dbe0077016098a3cf9b0f9c2f2d3fb,CycloneDX-JSON,cdxgen,14,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\25c67c3f96dbe0077016098a3cf9b0f9c2f2d3fb
9dcd16a6ed26c7f04e2bc1e3e029e3cefeba26d1,CycloneDX-JSON,Node.js module,803,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\9\9dcd16a6ed26c7f04e2bc1e3e029e3cefeba26d1
f660f817abc1f6245cd146e319149a59ea54b1cd,CycloneDX-JSON,cyclonedx-php-composer,137,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\f660f817abc1f6245cd146e319149a59ea54b1cd
178ff47ef448db90a69c3b36c8b9174587317c50,SPDX-JSON,syft,199,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\178ff47ef448db90a69c3b36c8b9174587317c50
55ebe8fa9038dcca022ee3581f29242506f9f37c,CycloneDX-JSON,cdxgen,10,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\5\55ebe8fa9038dcca022ee3581f29242506f9f37c
